Date;gasprod;gasprice_norm;ip;gasprice_norm2;heating_days;cooling_days;cpi;rig_count
15.04.2015;2758730;;99,6262;2,61;301;53;99,66458102;222
15.05.2015;2790849;;99,8245;2,85;119;126;99,99324943;223
15.06.2015;2660158;;102,2464;2,78;24;254;100,2700228;224
15.07.2015;2756222;;101,0468;2,84;6;335;100,4290831;216
15.08.2015;2744748;;103,262;2,77;11;315;100,4286612;209
15.09.2015;2721449;;101,0421;2,66;32;223;100,202939;198
15.10.2015;2806078;;100,0499;2,34;228;77;100,302088;193
15.11.2015;2726220;;98,7327;2,09;446;30;100,4219107;194
15.12.2015;2812110;;98,1026;1,93;582;26;100,3139015;174
15.01.2016;2823104;;99,0226;2,28;872;7;100,2679133;133
15.02.2016;2653842;;98,4697;1,99;630;11;100,1345895;102
15.03.2016;2824983;;97,5846;1,73;451;35;100,448491;93
15.04.2016;2678610;;97,1406;1,92;311;42;100,8332736;88
15.05.2016;2767844;;97,0542;1,92;151;97;101,0716531;86
15.06.2016;2628164;;100,3595;2,59;21;270;101,3522237;86
15.07.2016;2721210;;98,6553;2,82;6;383;101,3011725;88
15.08.2016;2722631;;100,8706;2,82;6;361;101,4885008;82
15.09.2016;2626213;;99,4197;2,99;39;219;101,7547265;91
15.10.2016;2720187;;98,8029;2,98;198;86;101,993106;105
15.11.2016;2678247;;97,7233;2,55;419;25;102,1133505;117
15.12.2016;2746543;;98,7766;3,59;785;16;102,3711379;126
15.01.2017;2723628;;98,7085;3,3;768;17;102,7850323;140
15.02.2017;2493267;;98,2159;2,85;549;22;102,9487336;150
15.03.2017;2797117;;99,2849;2,88;545;32;102,9006358;154
15.04.2017;2689967;;97,6618;3,1;249;56;103,0276309;166
15.05.2017;2778965;;98,8786;3,15;154;105;102,9478898;178
15.06.2017;2688422;;101,8144;2,98;25;240;103,0149736;184
15.07.2017;2753997;;100,2313;2,98;5;362;103,0487265;189
15.08.2017;2769670;;101,6489;2,9;15;291;103,4453225;183
15.09.2017;2763285;;100,2442;2,98;45;183;103,9735546;187
15.10.2017;2911373;;100,9073;2,88;193;77;104,0541396;180
15.11.2017;2897003;;100,7622;3,01;492;27;104,3317568;173
15.12.2017;3025419;;101,6421;2,82;800;10;104,5515723;182
15.01.2018;2993178;;101,6219;3,87;899;7;104,9473245;187
15.02.2018;2751215;;101,6808;2,67;627;23;105,2409743;180
15.03.2018;3069284;;102,4873;2,69;611;21;105,3008856;188
15.04.2018;2976108;;101,9079;2,8;412;32;105,5392651;193
15.05.2018;3098558;;101,3225;2,8;86;173;105,8063346;198
15.06.2018;2972738;;104,6121;2,97;26;269;105,9493623;193
15.07.2018;3138242;;103,4498;2,83;4;375;106,035854;187
15.08.2018;3206177;;106,134;2,96;7;350;106,2155879;184
15.09.2018;3153978;;104,6149;3;38;230;106,4223241;187
15.10.2018;3314676;;103,5109;3,28;255;69;106,6851745;192
15.11.2018;3259912;;103,228;4,09;595;18;106,5986828;193
15.12.2018;3391473;;103,601;4,04;734;11;106,5539603;198
15.01.2019;3376735;;103,1944;3,11;862;9;106,5197855;199
15.02.2019;3056916;;102,7222;2,69;722;18;106,8003561;195
15.03.2019;3383042;;103,0721;2,95;634;18;107,2804904;193
15.04.2019;3315270;;100,6968;2,65;289;42;107,6559909;189
15.05.2019;3424018;;101,2748;2,64;159;129;107,7243404;184
15.06.2019;3299794;;103,9879;2,4;34;226;107,7395292;179
15.07.2019;3395984;;102,1311;2,37;5;372;107,9669391;172
15.08.2019;3448106;;104,9676;2,22;10;335;108,0846522;166
15.09.2019;3396571;;103,0381;2,56;41;242;108,2605889;152
15.10.2019;3551970;;101,4331;2,33;255;75;108,5597236;139
15.11.2019;3509293;;101,5782;2,65;591;16;108,7635064;130
15.12.2019;3622512;;101,7663;2,22;718;14;108,963914;128
15.01.2020;3596775;;101,2873;2,02;741;15;109,1406945;118
15.02.2020;3363434;;102,0064;1,91;654;12;109,2778155;110
15.03.2020;3582414;;98,0919;1,79;485;42;108,9225667;106
15.04.2020;3374224;;82,9007;1,74;360;42;108,0487897;93
15.05.2020;3285105;;85,2377;1,75;157;105;107,9855031;79
15.06.2020;3217496;;93,0916;1,63;26;246;108,5225954;76
15.07.2020;3373594;;95,2942;1,77;5;397;109,082049;72
15.08.2020;3349817;;98,3055;2,3;7;356;109,5195703;70
15.09.2020;3265272;;95,9072;1,92;58;180;109,7769358;73
15.10.2020;3363756;;96,6676;2,39;248;82;109,8452854;73
15.11.2020;3352374;;96,5021;2,61;423;32;110,0009704;74
15.12.2020;3489506;;98,1483;2,59;752;7;110,3566411;80
15.01.2021;3506258;;99,5517;2,71;805;10;110,6249763;86
15.02.2021;2923896;;96,6859;5,35;794;12;111,1084859;91
15.03.2021;3482323;;99,2465;2,62;508;28;111,8181396;92
15.04.2021;3408930;;97,5567;2,66;309;36;112,5349658;94
15.05.2021;3510356;;98,6079;2,91;151;101;113,3247826;100
15.06.2021;3391187;;101,3634;3,26;12;274;114,3188041;97
15.07.2021;3490995;;100,7714;3,84;5;346;114,8373323;102
15.08.2021;3530753;;102,5341;4,07;6;357;115,2204272;100
15.09.2021;3412770;;99,5366;5,16;40;200;115,693811;101
15.10.2021;3595255;;101,0112;5,51;181;84;116,6962707;99
15.11.2021;3551645;;101,5134;5,05;510;18;117,512246;102
15.12.2021;3679110;;101,6054;3,76;616;26;118,1881468;105
15.01.2022;3591006;;102,782;4,38;913;9;118,9505394;111
15.02.2022;3226679;;103,5041;4,69;711;11;119,8994165;121
15.03.2022;3612656;;104,2974;4,9;525;27;121,3870735;135
15.04.2022;3518800;;102,3444;6,6;343;48;121,7899982;142
15.05.2022;;;103,3627;8,14;;;122,9759891;149
15.06.2022;;;105,4092;7,7;;;;153
;;;;;;;;
